MGRS_TILE,count,date,row_id,mean,median,p25,p75,stdDev
31UFT,61,2026-04-01,2,0.3977453083432762,0.3958903821576351,0.32056453369429927,0.49109415829192055,0.0987356860626505
31UFT,0,2026-04-01,3,,,,,
31UFT,0,2026-04-01,4,,,,,
31UFT,0,2026-04-01,5,,,,,
31UFT,0,2026-04-01,6,,,,,
31UFT,190,2026-04-04,0,0.6797069735486517,0.6760222046326235,0.6104844057849779,0.73880971795049,0.08169881055541071
31UFT,0,2026-04-04,1,,,,,
31UFT,0,2026-04-04,2,,,,,
31UFT,0,2026-04-04,3,,,,,
31UFT,0,2026-04-04,4,,,,,
31UFT,0,2026-04-04,5,,,,,
31UFT,0,2026-04-04,6,,,,,
31UFT,0,2026-04-06,0,,,,,
31UFT,0,2026-04-06,1,,,,,
31UFT,0,2026-04-06,2,,,,,
31UFT,0,2026-04-06,3,,,,,
31UFT,0,2026-04-06,4,,,,,
31UFT,0,2026-04-06,5,,,,,
31UFT,0,2026-04-06,6,,,,,
31UFT,0,2026-04-08,0,,,,,
31UFT,0,2026-04-08,1,,,,,
31UFT,0,2026-04-08,2,,,,,
31UFT,0,2026-04-08,3,,,,,
31UFT,0,2026-04-08,4,,,,,
31UFT,0,2026-04-08,5,,,,,
31UFT,0,2026-04-08,6,,,,,
31UFT,0,2026-04-09,0,,,,,
31UFT,0,2026-04-09,1,,,,,
31UFT,0,2026-04-09,2,,,,,
31UFT,0,2026-04-09,3,,,,,
31UFT,0,2026-04-09,4,,,,,
31UFT,0,2026-04-09,5,,,,,
31UFT,0,2026-04-09,6,,,,,
31UFT,0,2026-04-11,0,,,,,
31UFT,0,2026-04-11,1,,,,,
31UFT,0,2026-04-11,2,,,,,
31UFT,0,2026-04-11,3,,,,,
31UFT,0,2026-04-11,4,,,,,
31UFT,0,2026-04-11,5,,,,,
31UFT,0,2026-04-11,6,,,,,
31UFT,0,2026-04-11,0,,,,,
31UFT,0,2026-04-11,1,,,,,
31UFT,0,2026-04-11,2,,,,,
31UFT,0,2026-04-11,3,,,,,
31UFT,0,2026-04-11,4,,,,,
31UFT,0,2026-04-11,5,,,,,
31UFT,0,2026-04-11,6,,,,,
31UFT,0,2026-04-14,0,,,,,
31UFT,9,2026-04-14,1,0.28742694213417175,0.3136155235294156,0.25908280246467336,0.3669185402880134,0.12953846367384936
31UFT,0,2026-04-14,2,,,,,
31UFT,0,2026-04-14,3,,,,,
31UFT,0,2026-04-14,4,,,,,
31UFT,0,2026-04-14,5,,,,,
31UFT,0,2026-04-14,6,,,,,
31UFT,0,2026-04-16,0,,,,,
31UFT,0,2026-04-16,1,,,,,
31UFT,10,2026-04-16,2,0.5044907212094702,0.5060177958532432,0.47383308902471766,0.5369349688165076,0.03408859017968141
31UFT,0,2026-04-16,3,,,,,
31UFT,0,2026-04-16,4,,,,,
31UFT,0,2026-04-16,5,,,,,
31UFT,0,2026-04-16,6,,,,,
31UFT,0,2026-04-18,0,,,,,
31UFT,0,2026-04-18,1,,,,,
31UFT,0,2026-04-18,2,,,,,
31UFT,0,2026-04-18,3,,,,,
31UFT,0,2026-04-18,4,,,,,
31UFT,0,2026-04-18,5,,,,,
31UFT,0,2026-04-18,6,,,,,
31UFT,0,2026-04-19,0,,,,,
31UFT,0,2026-04-19,1,,,,,
31UFT,0,2026-04-19,2,,,,,
31UFT,0,2026-04-19,3,,,,,
31UFT,0,2026-04-19,4,,,,,
31UFT,0,2026-04-19,5,,,,,
31UFT,0,2026-04-19,6,,,,,
31UFT,190,2026-04-21,0,0.8012885491646322,0.8112295145631438,0.7845122559397314,0.8238836659992351,0.05687478020708591
31UFT,9,2026-04-21,1,0.4135089551002908,0.39425460245858085,0.39249149317896814,0.4721525197066086,0.06189313475712021
31UFT,92,2026-04-21,2,0.5773478500081243,0.5904975442247442,0.5206002102781382,0.6280480521775308,0.0730822708877266
31UFT,20,2026-04-21,3,0.3766746677449199,0.3552123739088723,0.3487179541062712,0.4030395152747431,0.0414563063743757
31UFT,16,2026-04-21,4,0.5197573860409931,0.48919136416280934,0.4725169050310547,0.5814241662604216,0.07597099613226722
